"Marca temporal"," 1. Ingresa tu edad:","2. ¿Con cuál género te identificas?","3. ¿Cuál es tu departamento de residencia?","4. ¿Cuál es tu mayor preocupación respecto a la situación del país?","5. ¿Cómo reaccionas frente a tu mayor preocupación?","6.  ¿Cómo percibís tu entorno en general? (Puedes seleccionar más de una opción)","7. ¿Qué emociones predominan en tu día a día? (Puedes seleccionar más de una opción)","8. ¿Qué valores crees que necesita nuestro país para mejorar? (Puedes seleccionar más de una opción)","9. Respecto del país, completa la siguiente frase: Quiero creer que...","10. Respecto del país, completa la siguiente frase: Quiero dejar de creer que...","11. Respecto del país, completa la siguiente frase: Quiero empezar a creer que...","12. Del 0 al 10 cuál es tu nivel de optimismo respecto a que el próximo gobierno dé respuestas a tus preocupaciones: ","13. ¿A quién o cómo votarías en las siguientes elecciones PASO (Primarias, Abiertas, Simultáneas y Obligatorias)​ ?","14. ¿Cómo ves a la Argentina en 2030?","15. Teniendo en cuenta las respuestas anteriores:","16. ¿Qué áreas deberían reforzarse o desarrollarse para mejorar la situación de la Argentina? (Puedes seleccionar más de una opción)"
"2023/05/11 2:49:26 p. m. GMT-3","15","Femenino","Guaymallén","Economia","Busco soluciones o me comprometo","Complicado","Enojo","Responsabilidad","El país va a mejorar ","Que no voy a tener futuro ","Voy a ser exitosa ","0","No iré votar","Peor","Tengo decidido emigrar","Estabilidad económica"
"2023/05/11 4:30:54 p. m. GMT-3","18","Masculino","Capital","Economia","Busco soluciones o me comprometo","Cómodo","Calma","a milei y todos los anteriores ","quiero creer que el presidente de la nación Argentina javier mieli realizara un buen mandato","deje de creer que no tiene solucion cuando milei aparecio","empezare a creer en la libertad ","10","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/11 4:36:01 p. m. GMT-3","17","Masculino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Inseguro","Sorpresa","Responsabilidad","La economía nos salvará de la deuda","Nuestra discriminación es por causa de la economía ","Argentina puede llegar a ser potencia mundial ","8","No iré votar","Mejor","Lo estoy pensando","Estabilidad económica"
"2023/05/11 4:36:03 p. m. GMT-3","44","Femenino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Inseguro","Tristeza","Todos los anteriores","Vamos a salir de este pozo","Esto no tiene cambio","Vamos a salir adelante ","9","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/11 4:36:20 p. m. GMT-3","53","Femenino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Ansioso","Optimismo","Honestidad","Mejorara","La situación es irreversible","Los políticos son honestos","4","Libertad Avanza","Mejor","Lo estoy pensando","Desarrollo humano"
"2023/05/11 4:36:51 p. m. GMT-3","17","Prefiero no decirlo","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Cómodo","Alegría","Todos los anteriores","Van a dejar de gobernar los mismo","el pais no va a mejorar","el pais va a mejorar","5","En blanco","Igual","Tengo decidido emigrar","Estabilidad política"
"2023/05/11 4:43:53 p. m. GMT-3","17","Masculino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Complicado","Calma","Todos los anteriores","que si se cambia de presidente/partido politico, va a cambiar ","todo va a estar peor","cambiando de gobierno va a cambiar","9","Libertad Avanza","Peor","Tengo decidido emigrar","Estabilidad política"
"2023/05/11 4:56:24 p. m. GMT-3","54","Femenino","Guaymallén","Todas las anteriores","Busco ayuda","Complicado;Ansioso;Inseguro;Violento","Tristeza;Optimismo;Ansiedad","Esfuerzo;Trabajo;Empatía;Cooperación;Honestidad;Compromiso;Responsabilidad","Todo es posible","Argentina está perdida","El próximo gobierno cambiará la situación actual","5","Libertad Avanza","Mejor","Lo estoy pensando","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/11 4:56:32 p. m. GMT-3","30","Femenino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Ansioso;Incómodo;Inseguro;Violento;Preocupado","Miedo;Tristeza;Enojo;Fastidio;Confusión;Aversión;Ansiedad","Empatía;Responsabilidad;Solidaridad;Creo que no necesita otros valores;Esfuerzo;Compromiso;Cooperación;Todos los anteriores;Autocrítica;Trabajo;Honestidad","Los políticos van a dejar de robar ","Q la situación del país no va a cambiar ","Vamos a estar mejor ","8","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/11 6:00:41 p. m. GMT-3","18","Masculino","Guaymallén","Trabajo","Busco soluciones o me comprometo","Inseguro;Violento","Miedo;Tristeza;Enojo;Confusión","Honestidad;Compromiso;Empatía;Cooperación;Trabajo;Responsabilidad","Vamos a mejor","Vamos a pasarla mal ","Este es el camino ","7","Libertad Avanza","Mejor","Lo estoy pensando","Estabilidad económica;Mejor educación"
"2023/05/11 7:14:17 p. m. GMT-3","45","Femenino","Guaymallén","Inseguridad","Busco soluciones o me comprometo","Inseguro","Confusión","Honestidad","Que va a cambiar el pais ","Va dejar de ser inseguro ","Que va ser mejor ","5","No iré votar","Igual","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/11 8:05:22 p. m. GMT-3","40","Masculino","Guaymallén","Todas las anteriores","Espero que otros la solucionen","Complicado;Ansioso;Inseguro;Contenedor","Alegría;Sorpresa;Miedo;Indiferencia;Tristeza;Enojo;Optimismo;Fastidio;Pesimismo;Confusión;Ansiedad","Empatía;Solidaridad;Cooperación;Esfuerzo;Compromiso;Honestidad;Trabajo;Autocrítica;Responsabilidad","Todo va a mejorar.","Los políticos son corruptos.","La economia mejorará","3","En blanco","Peor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/11 8:11:23 p. m. GMT-3","44","Femenino","Luján de Cuyo","Salud","Busco soluciones o me comprometo","Complicado","Confusión","Solidaridad","Se dará una toma de conciencia social","Nada se puede cambiar","Se pondrá más atención a las necesidades de los trabajadores","4","Frente de Todos","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional"
"2023/05/11 8:24:47 p. m. GMT-3","50","Masculino","Maipú","Economia","Prefiero no pensar","Inseguro;Violento","Fastidio","Autocrítica;Honestidad;Empatía","Podemos salir adelante,  si hay honestidad y autocrica","Que la casta politica va cambiar ","Que haya un cambio de gente que gobierna el pais","3","Anularé mi voto","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Estabilidad política"
"2023/05/11 8:30:26 p. m. GMT-3","70 años ","Masculino","Guaymallén","Todas las anteriores","Prefiero no pensar","Ansioso","Nostalgia","Honestidad","Mejorará ","Vamos a estar peor ","El próximo gobierno sera mejor ","7","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/11 8:38:17 p. m. GMT-3","43","Femenino","Capital","Todas las anteriores","Busco soluciones o me comprometo","Complicado;desinformado","Tristeza","Responsabilidad;Solidaridad;Cooperación;Autocrítica;Empatía","que la verdad predominará sobre las injusticias","No podremos","la fuerza social ","7","Frente de Todos","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/11 9:28:39 p. m. GMT-3","63años","Femenino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Inseguro;Violento","Enojo;Fastidio;Pesimismo","Creo que no necesita otros valores;Responsabilidad;Honestidad;Solidaridad;Compromiso;Cooperación;Todos los anteriores","Que todo va a cambiar para bien, que se termine la corrupción y se vayan todos los nefastos que nos están saqueando la vida y el país que tanto amo","Que no hay justicia todo lo yvie","Que todo va a cambiar ","7","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional"
"2023/05/11 9:33:18 p. m. GMT-3","49","Prefiero no decirlo","Capital","Todas las anteriores","Busco soluciones o me comprometo","Complicado","Tristeza","Trabajo;Autocrítica;Solidaridad;Empatía;Compromiso;Honestidad","Se lograra estabilidad y progreso","La violencia avanza","Tendremos justicia social ","4","Frente de Todos","Igual","Lo estoy pensando","Estabilidad económica;Mejor educación;Desarrollo humano"
"2023/05/11 9:54:47 p. m. GMT-3","57","Femenino","Capital","Todas las anteriores","Busco ayuda","Incómodo","Enojo","Compromiso;Cooperación;Solidaridad;Trabajo;Empatía;Responsabilidad;Todos los anteriores","Vendran tiempos mejores","Siempre sera lo mismo ","Algun dia cambiara ","6","Otros candidatos","Igual","Lo estoy pensando","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/11 11:09:04 p. m. GMT-3","50","Femenino","Guaymallén","Educación","Busco soluciones o me comprometo","Complicado","Optimismo","Compromiso","Se normalizará y saldrá adelante este pais","Estaremos peor. No hay solucion","Alguna luz de esperanza habra","6","Juntos por el cambio","Mejor","Lo estoy pensando","Estabilidad económica"
"2023/05/12 10:30:15 a. m. GMT-3","66","Masculino","Capital","Todas las anteriores","Busco soluciones o me comprometo","Complicado","Optimismo","Responsabilidad;Trabajo;Honestidad;Compromiso;Solidaridad;Esfuerzo","Con mucho esfuerzo saldremos adelante","No tenemos salida","Con mucho esfuerzo saldremos sdelante","0","Otros candidatos","Igual","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Estabilidad política"
"2023/05/12 11:11:26 a. m. GMT-3","50","Masculino","Capital","Economia","Espero que otros la solucionen","Complicado","Optimismo","Cooperación;Compromiso;Empatía","Todo va a cambiar","Que somos un país inculto","Los políticos no roben","4","Frente de Todos","Peor","Seguiré viviendo en Argentina","Fortalecimiento institucional"
"2023/05/12 9:44:12 p. m. GMT-3","41","Femenino","Maipú","Economia","Busco soluciones o me comprometo","Complicado","Ansiedad","Todos los anteriores","Todo va a cambiar ","Son todos los políticos iguales","Hay empatía ","1","Otros candidatos","Igual","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/12 9:49:33 p. m. GMT-3","37","Femenino","Godoy Cruz","Educación","Busco soluciones o me comprometo","Alegre","Alegría","Compromiso","Habrá más compromiso ","Serán corruptos","Tendremos compromiso ","7","Juntos por el cambio","Mejor","Lo estoy pensando","Estabilidad económica"
"2023/05/12 9:51:40 p. m. GMT-3","37","Masculino","Guaymallén","Todas las anteriores","Espero que otros la solucionen","Complicado","Fastidio","Compromiso","Se puede superar esta crisis.","En todas las promesas de los políticos ","El país va a salir adelante.","0","No iré votar","Peor","Lo estoy pensando","Estabilidad económica"
"2023/05/12 9:54:16 p. m. GMT-3","35","Femenino","Godoy Cruz","Economia","Busco soluciones o me comprometo","Inseguro","Ansiedad","Compromiso","Algún día saldremos de esta","Este país no tiene solución ","Todo cambiará ","5","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Estabilidad económica;Mejor educación"
"2023/05/12 10:03:20 p. m. GMT-3","41","Femenino","Godoy Cruz","Todas las anteriores","Busco ayuda","Incómodo","Ansiedad","Empatía"," va estar mejor","Van a seguir robando","Hay un cambio radical","7","Otros candidatos","Mejor","Lo estoy pensando","Desarrollo humano"
"2023/05/12 10:07:54 p. m. GMT-3","45","Femenino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Alegre","Alegría;Optimismo","Todos los anteriores","Que vamos a salir adelante ","Que no tiene solución ","Somos un país con gente trabajadora y honesta","5","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/12 10:08:32 p. m. GMT-3","32","Femenino","Maipú","Economia","Busco ayuda","Complicado","Enojo","Honestidad","Todo va a mejorar ","La economía va a empeorar","La economía va a mejorar ","4","No iré votar","Peor","Lo estoy pensando","Estabilidad económica"
"2023/05/12 10:11:00 p. m. GMT-3","31","Femenino","Maipú","Todas las anteriores","Busco soluciones o me comprometo","Complicado","Confusión","Esfuerzo;Honestidad;Trabajo;Compromiso;Autocrítica;Cooperación;Responsabilidad","La situación actual en algún momento llegará a su fin y que la situación será mejor para todos pero es de ilusos tener este pensamiento con la cantidad de personas que se ríen de la desgracia de la gente como los políticos nefastos ","Que los políticos nefastos que nos representan van a pagar por todo el daño producido ","En algún momento se podrá confiar en los que nos representan ","4","Juntos por el cambio","Igual","Lo estoy pensando","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/12 10:12:32 p. m. GMT-3","38","Femenino","Las Heras","Todas las anteriores","Prefiero no pensar","Complicado;Ansioso","Indiferencia;Confusión;Ansiedad","Empatía;Honestidad;Responsabilidad","Se puede mejorar","Los políticos nunca vayan a cambiar ","Podemos cambiar la cultura y tener mejores valores ","6","Libertad Avanza","Igual","Seguiré viviendo en Argentina","Estabilidad económica;Mejor educación;Estabilidad política"
"2023/05/12 10:17:30 p. m. GMT-3","38","Masculino","Las Heras","Todas las anteriores","Busco soluciones o me comprometo","Ansioso;Inseguro;Contenedor","Miedo;Optimismo;Ansiedad","Empatía;Honestidad;Autocrítica","Vamos a dalir adelante ","Nos van a seguir cagando ","Vamos a salir ","7","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Estabilidad política"
"2023/05/12 10:23:07 p. m. GMT-3","66","Femenino","Godoy Cruz","Todas las anteriores","Busco soluciones o me comprometo","Complicado","Optimismo;Calma","Compromiso;Honestidad;Trabajo;Responsabilidad","Se puede cambiar","Hay gente que se deja manipular por un bolsón y luego sufre el doble lo nuevo","lo nuevo que elijamos no nos defraude ","9","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Estabilidad política"
"2023/05/12 10:28:09 p. m. GMT-3","20","Masculino","Malargüe","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Inseguro;Violento","Tristeza;Pesimismo;Aversión","Autocrítica","La democracia funciona","Todo está perdido","La sociedad asuma su parte de responsabilidad","0","Anularé mi voto","Peor","Tengo decidido emigrar","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/12 10:34:03 p. m. GMT-3","42","Masculino","San Rafael","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Inseguro","Tristeza;Enojo;Fastidio","Responsabilidad;Honestidad;Empatía;Cooperación;Trabajo","Va a cambiar la situacion","Nuestros hijos no tienen futuro","Hay gente honesta","5","Otros candidatos","Igual","Lo estoy pensando","Estabilidad económica;Mejor educación"
"2023/05/12 10:55:16 p. m. GMT-3","42","Masculino","Godoy Cruz","Todas las anteriores","Prefiero no pensar","Inseguro","Fastidio","Todos los anteriores","Si no tuviésemos gobernantes corruptos, el País sería mejor.","Seguiremos con gobernantes corruptos y que la gente deje de cobrar planes sociales sin hacer nada.","Está situación cambie favorablemente pronto.","5","Otros candidatos","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano"
"2023/05/12 11:05:00 p. m. GMT-3","24","Masculino","Godoy Cruz","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Ansioso;Inseguro","Alegría;Optimismo;Ansiedad","Responsabilidad;Trabajo;Empatía;Autocrítica;Esfuerzo;Honestidad","Hay nuevo camino","Seguimos en la misma","Se están tomando acciones para un futuro certero","7","Libertad Avanza","Igual","Lo estoy pensando","Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología"
"2023/05/13 12:04:30 a. m. GMT-3","32","Femenino","Guaymallén","Todas las anteriores","Prefiero no pensar","Cómodo","Indiferencia","Empatía;Trabajo;Solidaridad;Esfuerzo;Honestidad;Compromiso;Todos los anteriores;Cooperación;Responsabilidad","Podemos tener un pais mejor","Siempre vamos a estar igual o peor ","Que podemos salir adelante y crecer","8","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología"
"2023/05/13 1:26:00 a. m. GMT-3","69 años","Masculino","Luján de Cuyo","Todas las anteriores","Busco soluciones o me comprometo","Ansioso","Fastidio","Todos los anteriores","Mejorara","No tiene futuro","Mejorara ","8","Frente de Todos","Mejor","Seguiré viviendo en Argentina","Mejor educación"
"2023/05/13 6:51:24 a. m. GMT-3","39","Masculino","Godoy Cruz","Todas las anteriores","Prefiero no pensar","Complicado;Ansioso;Inseguro","Enojo;Fastidio;Pesimismo;Nostalgia;Confusión","Todos los anteriores","Debemos de comenzar a proyectar un pais mejor para darle un futuro mas prometedor a los que vienen.","Los politicos  sigan siendo corruptos","Podamos salir adelante como pais, como sociedad, tratando de mejorar cada uno de nosotros.  ","8","Libertad Avanza","Igual","Lo estoy pensando","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología"
"2023/05/13 9:06:55 a. m. GMT-3","33","Femenino","Capital","Economia","Busco soluciones o me comprometo","Complicado","Fastidio","Todos los anteriores","No todos los políticos son iguales y pueden cambiar el rumbo del país ","Estamos destinados a la corrupción ","Argentina va a recuperar su economía ","5","Juntos por el cambio","Igual","Lo estoy pensando","Estabilidad política"
"2023/05/13 10:47:31 a. m. GMT-3","43","Femenino","Guaymallén","Todas las anteriores","Espero que otros la solucionen","Inseguro","Ansiedad","Todos los anteriores","Se puede","No se puedes","Lo hicimos y queesta mucho mejor","7","Otros candidatos","Igual","Lo estoy pensando","Estabilidad económica"
"2023/05/13 11:14:44 a. m. GMT-3","61","Masculino","Godoy Cruz","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Incómodo;Inseguro;Violento","Tristeza;Fastidio;Pesimismo","Trabajo;Honestidad;Compromiso;Autocrítica;Responsabilidad","Sea Libre, presos los corruptos ","Que hay impunidad","Que podemos estar mejor ","6","Libertad Avanza","Peor","Lo estoy pensando","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/13 11:21:52 a. m. GMT-3","36","Femenino","Luján de Cuyo","Economia","Busco soluciones o me comprometo","Ansioso;Inseguro","Alegría;Optimismo;Ansiedad","Todos los anteriores","Argentina cada dia va ser mas prospera.","Argentina haiga mas personas vulnerables, abalfabetas y violentas.","Argentina dia a dia va a mejorar todas necesidades que hoy nos acechan.","5","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/13 11:22:31 a. m. GMT-3","26 años","Femenino","Guaymallén","Justicia","Busco soluciones o me comprometo","Complicado","Optimismo","Todos los anteriores","Que algun dia todo cambiara ","Nos va ir mal ","Hay solucion ","7","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/13 12:30:55 p. m. GMT-3","72","Masculino","Luján de Cuyo","Todas las anteriores","Busco soluciones o me comprometo","Complicado","Fastidio","Todos los anteriores","no vuelva a gobernar el populismo ","no hay solucion","Hay salida","7","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Fomentar la innovación y tecnología"
"2023/05/13 12:53:25 p. m. GMT-3","62","Masculino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Incómodo;Inseguro;Violento","Tristeza;Fastidio","Todos los anteriores","Algún día, aparecerá gente honesta que nos dirija ","Los actuales políticos ","Podemos mejorar y mucho","5","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/13 3:26:28 p. m. GMT-3","75","Masculino","Capital","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Incómodo;Inseguro;Violento","Miedo;Tristeza;Enojo;Fastidio;Nostalgia;Confusión","Trabajo;Solidaridad;Cooperación;Esfuerzo;Honestidad;Compromiso;Autocrítica;Responsabilidad;Todos los anteriores","Podría salir adelante seguro qué sí siempre y cuando hayan políticos honestos cosa imposible ","Los politicos sean desonesto","Que él país se pondrá de pie cómo se merece","2","Libertad Avanza","Peor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/13 4:31:39 p. m. GMT-3","37","Femenino","Guaymallén","Justicia","Espero que otros la solucionen","Complicado;Inseguro","Tristeza;Ansiedad","Trabajo;Honestidad","Todo puede mejorar","No hay solucion, que el país nunca va a cambiar","Estamoa seguros estamos estables","4","Otros candidatos","Peor","Lo estoy pensando","Estabilidad económica;Estabilidad política"
"2023/05/13 4:35:29 p. m. GMT-3","23","Femenino","Guaymallén","Todas las anteriores","Prefiero no pensar","Complicado;Cómodo;Alegre;Ansioso","Alegría;Miedo;Enojo;Optimismo;Fastidio;Calma;Ansiedad","Trabajo;Solidaridad;Empatía;Responsabilidad","Algún día la inflación va a disminuir ","Hay tanta inseguridad ","Vamos a crecer en todos los ambitos","4","Otros candidatos","Peor","Lo estoy pensando","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Estabilidad política"
"2023/05/13 4:36:53 p. m. GMT-3","46","Femenino","Las Heras","Todas las anteriores","Busco soluciones o me comprometo","Violento","Tristeza","Honestidad;Responsabilidad;Todos los anteriores","Situación cambiará ","No hay gente honesta y responsable. ","Que hay futuro","2","Libertad Avanza","Peor","Lo estoy pensando","Estabilidad económica;Mejor educación;Desarrollo humano"
"2023/05/13 4:56:10 p. m. GMT-3","20","Femenino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Inseguro","Alegría;Miedo;Tristeza;Optimismo;Nostalgia","Todos los anteriores","La situación económica del país mejorara. ","...","El próximo gobierno tomara las decisiones correctas para el bienestar del pueblo. Maneje al país como se debe, y no a beneficio de los empresarios, y que haga valer nuestro peso argentino.  ","9","Frente de Todos","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/13 5:00:39 p. m. GMT-3","23","Femenino","Las Heras","Todas las anteriores","No hago nada","Complicado","Confusión","Todos los anteriores","Todo va a mejorar","Va a seguir siendo igual","Ya no va a haber inseguridad","3","Libertad Avanza","Mejor","Tengo decidido emigrar","Estabilidad económica"
"2023/05/13 5:20:32 p. m. GMT-3","75","Masculino","Godoy Cruz","Salud","Busco soluciones o me comprometo","Complicado","Fastidio","Todos los anteriores","En la justicia","Son todos corruptos","Mi pais","5","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Estabilidad económica"
"2023/05/13 5:28:06 p. m. GMT-3","75","Masculino","Guaymallén","Economia","Busco soluciones o me comprometo","Inseguro","Miedo;Ansiedad","Todos los anteriores","Mejoraralos gobernantes","Los gobernantes sean delincuenteslos gobernantes sean ","Los gobernantes seran onestos","9","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica"
"2023/05/13 5:58:53 p. m. GMT-3","47","Femenino","Godoy Cruz","Inseguridad","Busco soluciones o me comprometo","Complicado","Miedo;Optimismo","Trabajo;Empatía;Esfuerzo;Honestidad;Todos los anteriores","Mejorara","No mejorara","Alguien nos salvara","5","Juntos por el cambio","Mejor","Seguiré viviendo en Argentina","Estabilidad económica;Mejor educación;Estabilidad política"
"2023/05/13 6:18:35 p. m. GMT-3","26","Masculino","Las Heras","Educación","Busco soluciones o me comprometo","Cómodo","Alegría","Trabajo;Solidaridad;Empatía;Honestidad","Todo será mejor "," "," ","0","Otros candidatos","Peor","Seguiré viviendo en Argentina","Estabilidad económica;Mejor educación"
"2023/05/13 6:32:44 p. m. GMT-3","54","Masculino","Guaymallén","Economia","Busco soluciones o me comprometo","Complicado;Inseguro","Optimismo","Trabajo;Solidaridad;Empatía;Cooperación;Esfuerzo;Honestidad;Compromiso","Vamos a salir adelante ","Los políticos son corruptos","Argentina se levanta ","4","Frente de Todos","Mejor","Seguiré viviendo en Argentina","Estabilidad económica;Mejor educación;Estabilidad política"
"2023/05/13 6:58:36 p. m. GMT-3","28","Femenino","Maipú","Todas las anteriores","Busco soluciones o me comprometo","Alegre;Contenedor","Alegría;Ansiedad","Trabajo;Esfuerzo;Compromiso;Responsabilidad","Todo es posible ","Que el pasi esta entrando en crisis ","Que la Argentina va hacer un futo mejor ","3","Anularé mi voto","Peor","Seguiré viviendo en Argentina","Estabilidad económica;Mejor educación;Desarrollo humano"
"2023/05/13 8:10:33 p. m. GMT-3","51","Femenino","Guaymallén","Todas las anteriores","No hago nada","Complicado;Inseguro;Violento","Tristeza;Enojo","Todos los anteriores","Esto puede cambiar para mejor","Los política deje de robar","El país salga a delante ","0","En blanco","Peor","Lo estoy pensando","Fortalecimiento institucional;Estabilidad económica;Mejor educación;Desarrollo humano;Fomentar la innovación y tecnología;Estabilidad política"
"2023/05/13 9:31:50 p. m. GMT-3","45","Masculino","Guaymallén","Todas las anteriores","Busco soluciones o me comprometo","Contenedor","Optimismo;Ansiedad","Trabajo;Empatía;Honestidad;Autocrítica","Esta situación va a cambiar para mejor ","Esto no cambia más ","Existe la igualdad y la justicia ","5","Libertad Avanza","Mejor","Seguiré viviendo en Argentina","Fortalecimiento institucional;Estabilidad económica;Mejor educación"
"2023/05/13 11:32:04 p. m. GMT-3","38","Femenino","Las Heras","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Inseguro","Optimismo","Empatía;Honestidad;Responsabilidad","¡Algún día saldremos adelante!","9","9","0","Otros candidatos","Igual","Seguiré viviendo en Argentina","Estabilidad económica;Mejor educación;Estabilidad política"
"2023/05/14 12:25:58 a. m. GMT-3","62 años","Masculino","Godoy Cruz","Todas las anteriores","Busco soluciones o me comprometo","Complicado;Ansioso;Inseguro","Sorpresa;Miedo;Tristeza;Fastidio;Nostalgia;Ansiedad","Trabajo;Solidaridad;Empatía;Cooperación;Esfuerzo;Honestidad;Compromiso;Autocrítica;Responsabilidad;Todos los anteriores","Que mis nietos lleguen a vivir en un país mejor ","No hay solución.","Que se puede.","4","No iré votar","Igual","Seguiré viviendo en Argentina","Fortalecimiento institucional"
"2023/05/14 12:34:44 a. m. GMT-3","62 años","Masculino","Godoy Cruz","Salud","Busco soluciones o me comprometo","Complicado;Ansioso;Incómodo;Inseguro","Sorpresa;Miedo;Fastidio;Pesimismo;Nostalgia;Confusión;Ansiedad","Trabajo;Solidaridad;Todos los anteriores","Mis nietos vivirán en un país mejor ","Hay una solución inmediata ","Que mejoraremos ","4","No iré votar","Igual","Seguiré viviendo en Argentina","Fortalecimiento institucional"